Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/test,139283,0,7,8.714443928772008,2.2800829901825637,211.73320899833925,52.76078918460975,1128.4504011906597,0.0,7,9,9,10,13,16,29,39,77,160,210
,Aggregated,139283,0,7,8.714443928772008,2.2800829901825637,211.73320899833925,52.76078918460975,1128.4504011906597,0.0,7,9,9,10,13,16,29,39,77,160,210
