Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/test,79930,10,7,10.126280752052008,2.251082973089069,16822.43458396988,52.72250719379457,973.3956957559542,0.1217810203623113,7,8,9,10,12,14,18,22,47,17000,17000
,Aggregated,79930,10,7,10.126280752052008,2.251082973089069,16822.43458396988,52.72250719379457,973.3956957559542,0.1217810203623113,7,8,9,10,12,14,18,22,47,17000,17000
