Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/test,75463,0,7,7.9611711937170915,2.5144999963231385,54.671999998390675,52.696911069000706,1234.0388092601027,0.0,7,8,9,10,12,14,17,20,38,47,55
,Aggregated,75463,0,7,7.9611711937170915,2.5144999963231385,54.671999998390675,52.696911069000706,1234.0388092601027,0.0,7,8,9,10,12,14,17,20,38,47,55
