Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/test,295622,0,7,8.346389490376183,2.188958984334022,2948.7635829718783,52.87614588900691,1176.515598159784,0.0,7,8,9,9,11,14,28,46,60,86,2900
,Aggregated,295622,0,7,8.346389490376183,2.188958984334022,2948.7635829718783,52.87614588900691,1176.515598159784,0.0,7,8,9,9,11,14,28,46,60,86,2900
